Reader,Embedding_Model,Metric,QA_Data,Accuracy
llama3.2:1b,jinaai/jina-embeddings-v2-base-en,BASIC,QA_10,0.9
llama3.2:1b,jinaai/jina-embeddings-v3,BASIC,QA_10,1.0
llama3.2:1b,pingkeest/learning2_model,BASIC,QA_10,0.9
llama3.2:1b,all-MiniLM-L12-v2,BASIC,QA_10,0.9
llama3.2:1b,bert-base-uncased,BASIC,QA_10,0.7
llama3.2:1b,jinaai/jina-embeddings-v2-base-en,ADVANCED,QA_10,1.0
llama3.2:1b,jinaai/jina-embeddings-v3,ADVANCED,QA_10,0.9
llama3.2:1b,pingkeest/learning2_model,ADVANCED,QA_10,0.9
llama3.2:1b,all-MiniLM-L12-v2,ADVANCED,QA_10,0.9
llama3.2:1b,bert-base-uncased,ADVANCED,QA_10,0.8
llama3.2:1b,jinaai/jina-embeddings-v2-base-en,BASIC,QA_100,0.63
llama3.2:1b,jinaai/jina-embeddings-v3,BASIC,QA_100,0.60
llama3.2:1b,pingkeest/learning2_model,BASIC,QA_100,0.56
llama3.2:1b,all-MiniLM-L12-v2,BASIC,QA_100,5.3
llama3.2:1b,bert-base-uncased,BASIC,QA_100,4.2
llama3.2:1b,jinaai/jina-embeddings-v2-base-en,ADVANCED,QA_100,6.2
llama3.2:1b,jinaai/jina-embeddings-v3,ADVANCED,QA_100,6.4
llama3.2:1b,pingkeest/learning2_model,ADVANCED,QA_100,6.2
llama3.2:1b,all-MiniLM-L12-v2,ADVANCED,QA_100,5.9
llama3.2:1b,bert-base-uncased,ADVANCED,QA_100,4.5
